nivel;cargo;cbo;descricao
 B  ;  PINTOR  DE  CONSTRUÇÃO  CÊNICA  E  PAINÉIS  ; – 7166 - 10  ; Pintar artisticamente os cenários de acordo com as instruções dadas pelo cenógrafo. Auxiliar  nas atividades de ensino, pesquisa e extensão.  
 B  ; PINTOR/ÁREA  ; - 7166 -10  ; Preparar superfícies de edifícios,  construções metálicas, veículos e produtos de madeira,  metal e tecidos, ou outras superfícies e aplicar sobre elas camadas de tintas ou produtos  similares.  
 B  ; SAPATEIRO  ; - 7683-20  ; Cortar, montar e costurar calçados de couro. Confeccionar bolsas, carteiras, cintos, selas e  arreios de couro. Realizar acabamento em calçados e em artefatos de couro. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; SELEIRO  ; - 7683-25  ; Cortar, montar e costurar selas e arreios de couro. Realizam acabamento em artefatos de  couro. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; TRATORISTA  ; - 6410-15  ; Operam, ajustam e preparam máquinas e implementos agrícolas. Realizam manutenção em  primeiro nível de máquinas e implementos. Empregam medidas de segurança e auxiliam em  planejamento de plantio. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 B  ; VIDRACEIRO  ; – 7163-05  ; Cortar, montar e instalar vidros e espelhos em portas, janelas, divisórias, vitrines, prateleiras,  móveis e veículos.  
 C   ; ADERECISTA  ;:  ;" • Montar, transformar ou duplicar objetos cenográficos ou de indumentária, seguindo   orientação  de  cenógrafo  e/ou  figurinista  utilizando-se  de  técnicas  artesanais.  Estudar técnica e artisticamente a finalidade e as características do trabalho a ser  efetuado  consultando  anotações  e  analisando  o  tema.  Montar,  transformar  ou  duplicar  objetos  cenógrafos  ou  de  indumentária.  Zelar  pela  conservação  dos  instrumentos de trabalho. Auxiliar em levantamento orçamentário e requisições de  material. Auxiliar nas atividades de ensino, pesquisa e extensão. Utilizar recursos  de  informática.  Executar  outras  tarefas  de  mesma  natureza  e  nível  de  complexidade associadas ao ambiente organizacional.   Observação: Cargo em extinção.  1    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: ADMINISTRADOR DE EDIFÍCIOS  ||CÓDIGO CBO: 5101-10  ||DESCRICAO : Administrar edifícios organizando, acompanhando e controlando os serviços de manutenção,  limpeza e recuperação para mantê-los dentro dos padrões de ordem, higiene e segurança;  avaliar o desempenho de funcionários, a execução de serviços e relatórios de operação e de  avaliação e verificar manutenção de instalações, equipamentos e utensílios. Planejar rotinas  de  trabalho  em  administração  de  edifícios.  Coordenar  equipe  de  trabalho.  Verificar  manutenção de instalações, equipamento e utensílios. Manter as atividades necessárias à  preservação de jardins e áreas verdes em torno dos prédios. Realizar pequenos reparos  relacionados à manutenção hidráulica e elétrica das edificações. Auxiliar nas atividades de  ensino,  pesquisa e extensão.  Utilizar  recursos de informática.  Executar  outras tarefas de  mesma natureza e nível de complexidade associadas ao ambiente organizacional.  2    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AFINADOR DE INSTRUMENTOS MUSICAIS  ||CÓDIGO CBO: 7421-05  ||DESCRICAO :  Afinar  instrumentos  musicais,  testando  e  regulando  os  elementos  sonoros;  efetuar  a  manutenção das partes mecânicas, para assegurar o bom funcionamento do instrumento e a  qualidade do som; realizar testes nos componentes mecânico, elétrico e eletrônico, afinar e  dar acabamento de superfície nos instrumentos. Orientar na conservação dos instrumentos  musicais e elaborar laudos técnicos. Auxiliar nas atividades de ensino, pesquisa e extensão.  "
 C  ; ALMOXARIFE   (Proposta de aglutinar armazenista com  este cargo)  ;:  ;"  Organizar e manter o almoxarifado, executar recebimento, estocagem, distribuição,  registro e inventário de matérias-primas e mercadorias adquiridas e confeccionadas  na universidade. Utilizar recursos de informática. Executar outras tarefas de mesma  natureza e nível de complexidade associadas ao ambiente organizacional.  Observação: Cargo em extinção.  4    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM  EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: ASCENSORISTA  ||CÓDIGO CBO:  ||DESCRICAO :  Operar e verificar o funcionamento dos elevadores, acionando os dispositivos de co- mando obedecendo a escala de alternância dos andares, ao limite de lotação e carga  para conduzir passageiros e carga nos locais solicitados ou determinados. Fazer ob- servar as normas de conduta relativas à segurança em elevadores.  Prestar informa- ções ao público sobre a localização de pessoas ou dependências de serviços. Executar outras tarefas de mesma natureza e nível de complexidade associadas ao  ambiente organizacional.  Observação: Cargo em extinção.  OBS: proposta de manter o cargo.   5    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: ASSISTENTE DE ALUNOS  ||CÓDIGO CBO:  ||DESCRICAO : Assistir e orientar os alunos no aspecto de disciplina, lazer, segurança, saúde, pontualidade  e  higiene,  dentro  das  dependências  escolares. Assistir  o  corpo  docente  nas  unidades  didático-pedagógicas com os materiais necessários e execução de suas atividades. Auxiliar  nas atividades de ensino, pesquisa e extensão. Utilizar recursos de informática. Executar  outras  tarefas  de  mesma  natureza  e  nível  de  complexidade  associadas  ao  ambiente  organizacional.  6    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AUXILIAR DE CRECHE (proposta: Aglutinar com recreacionista)  ||CÓDIGO CBO: 3311-10  ||DESCRICAO : Cuidar de alunos na faixa de zero a seis anos :  Selecionar métodos,  técnicas,  materiais pedagógicos e de estimulação;  distribuir  o  material pedagógico segundo a faixa etária; acompanhar a sua utilização e zelar pela  sua guarda, com a participação da criança; estimular o desenvolvimento da criança,  respeitando  seus  valores,  sua  individualidade  e  sua  faixa  etária;  participar  das  reuniões de estudo em busca de uma melhor qualidade no atendimento. Observar  estado geral dos alunos (higiene, saúde etc.); acompanhar e assessorar o processo  de alimentação,  sono e higiene da criança;  desenvolver  atividades pedagógicas  e  recreativas com as crianças, observando e registrando os fatos ocorridos durante a  atividade,  a  fim de garantir  o  bem estar  e o desenvolvimento sadio das mesmas;  participar da manutenção das condições ambientais. Auxiliar nas atividades de ensino,  pesquisa  e  extensão. Executar  outras  tarefas  de  mesma  natureza  e  nível  de  complexidade associadas ao ambiente organizacional.  7    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: ASSISTENTE DE LABORATÓRIO/ÁREA (proposta de aglutinar o cargo de aux. de laboratório com este. )  ||CÓDIGO CBO: 8181-05  ||DESCRICAO : • Planejar o trabalho de apoio do laboratório e preparar vidrarias e materiais similares.  Interpretar  ordens  de  serviço  programadas,  programar  o  suprimento  de  materiais,  as  etapas de trabalho, equipamentos e instrumentos; selecionar métodos de análise; efetuar  cálculos  conforme  indicações  do  método  de  análise;  preencher  fichas  e  formulários.  Preparar soluções e equipamentos de medição e ensaios e analisar amostras de insumos  e  matérias-primas.  Proceder  à  coleta  do  material,  empregando  os  meios  e  os  instrumentos recomendados; executar exames e outros trabalhos de natureza simples,  que  não  exigem  interpretação  técnica  dos  resultados;  auxiliar  nas  análises  e  testes  laboratoriais; registrar e arquivar cópias dos resultados dos exames, testes e análises;  zelar  pela  assepsia,  conservação  e  recolhimento  do  material  utilizado.   Organizar  o  trabalho conforme normas de segurança, saúde ocupacional e preservação ambiental.  Auxiliar  nas  atividades  de  ensino,  pesquisa  e  extensão.  Executar  outras  tarefas  de  mesma natureza e nível de complexidade associadas ao ambiente organizacional.  8    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO:  ASSISTENTE  DE  TECNOLOGIA  DA  INFORMAÇÃO  ||CÓDIGO CBO:  ||DESCRICAO : Auxiliar  o  (analista  de tecnologia da informação) (operador de processamento de dados)  dando-lhe condições para processar o programa. Auxiliar nas atividades de ensino, pesquisa e extensão.  Executar e controlar projetos de sistemas de informação; planejar e pesquisar novas técnicas  e metodologias na sua área de atuação; desenvolver, testar, implantar, documentar e manter  programas de computador; utilizar aplicativos de apoio à atividade administrativa; avaliar a  performance de sistemas de informação; implantar, manter e operar infra-estrutura e serviços  de redes de comunicação; configurar e executar manutenções corretivas e preventivas de  software, hardware e infra-estrutura de rede; realizar vistoria, perícia, laudo e parecer técnico  em sua área de atuação; instalar e administrar sistemas operacionais e aplicativos; elaborar,  orientar e participar de programas de capacitação na área; garantir a execução das políticas  de segurança e uso aceitável para os recursos computacionais; prestar assistência técnica  na  utilização  de  recursos  de  informática;  atender  e  apoiar  o  usuário  na  instalação  de  software, configuração de equipamentos e uso dos recursos da informação; efetuar cópias  de segurança;Auxiliar nas atividades de ensino, pesquisa e extensão.  Executar  outras  tarefas  de  mesma  natureza  e  nível  de  complexidade  associadas  ao  ambiente organizacional.  OBS: proposta de aglutinar com técnico em tecnologia da informação.   9    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AUXILIAR DE BIBLIOTECA  Código CBO: 3711-05  ||DESCRICAO : Atuar  no  tratamento,  recuperação  e  disseminação  da  informação  e  executar  atividades  especializadas  e  administrativas  relacionadas  à  rotina  de  unidades  ou  centros  de  documentação ou informação, quer no atendimento ao usuário, quer na administração do  acervo, ou na manutenção de bancos de dados. Colaborar no controle e na conservação de  equipamentos. Realizar manutenção do acervo. Participar de treinamentos e programas de  atualização.  Auxiliar  nas atividades de ensino,  pesquisa e  extensão.  Utilizar  recursos de  informática. Executar outras tarefas de mesma natureza e nível de complexidade associadas  ao ambiente organizacional.  10    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AUXILIAR DE ENFERMAGEM   ( proposta: aglutinar com Técnico de enfermagem)   ||CÓDIGO CBO: 3222-30  ||DESCRICAO : Prestar  assistência  ao  paciente,  atuando  sob  supervisão  de  enfermeiro  e/ou  médico.  Trabalhar em conformidade às boas práticas, normas e procedimentos de biossegurança. Auxiliar nas atividades de ensino, pesquisa e extensão.  Exercer atividades de nível médio, envolvendo orientação e acompanhamento do trabalho de  enfermagem  em  grau  auxiliar,  cabendo-lhe  assistir  ao  enfermeiro:  a)  no  planejamento,  programação, orientação e supervisão das atividades de assistência de enfermagem; b) na  prestação de cuidados diretos de enfermagem a pacientes em estado grave; c) na prevenção  e controle das doenças transmissíveis em geral em programas de vigilância epidemiológica;  d) na prevenção e controle sistemático da infecção hospitalar; e) na prevenção e controle  sistemático de danos físicos que possam ser causados a pacientes durante a assistência à  saúde;  f)  na  execução  dos programas  e  nas  atividades  de assistência  integral  à  saúde  individual e de grupos específicos, particularmente daqueles prioritários e de alto risco, bem  como nos programas de higiene e segurança do trabalho e de prevenção de acidentes e de  doenças profissionais  e  do  trabalho;  executar  atividades de  assistência  de  enfermagem,  excetuadas as privativas do enfermeiro, previstas legalmente; integrar a equipe de saúde;  Auxiliar nas atividades de ensino, pesquisa e extensão. Executar outras tarefas de mesma  natureza e nível de complexidade associadas ao ambiente organizacional.   11    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AUXILIAR DE SAÚDE   (proposta: aglutinar com visitador sanitário) ?  ||CÓDIGO CBO: 5151-05  ||DESCRICAO : Visitar  domicílios  periodicamente  sob orientação e supervisão de profissionais  da saúde;  orientar a comunidade para promoção da saúde no sentido de detectar possíveis problemas  que possam estar interferindo na saúde da população; participar de campanhas preventivas;  participar de reuniões profissionais. Auxiliar nas atividades de ensino, pesquisa e extensão.  "
 C  ; AUXILIAR DE TOPOGRAFÍA  ;:    ;" Exercer tarefas auxiliares de topografia, procedendo ao levantamento, anotação e cálculo  de dados da área a ser demarcada bom como efetuar o desenho da área. Zelar pela  limpeza e conservação da aparelhagem topográfica. Auxiliar nas atividades de ensino,  pesquisa e extensão. Utilizar recursos de informática. Executar outras tarefas de mesma  natureza e nível de complexidade associadas ao ambiente organizacional.  Observação: Cargo em extinção. Proposta: retorno do cargo.   14    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AUXILIAR DE VETERINÁRIA E ZOOTECNIA  ||CÓDIGO CBO: 5193-05  ||DESCRICAO : Realizar procedimentos de enfermagem veterinária.  Esterilizar instrumentos cirúrgicos, clínicos e de laboratórios veterinários; manter as salas de  cirurgia, de exames e de tratamento clínico ou farmacêutico em condições de uso; proceder  à limpeza do material utilizado; conter os animais durante os exames; empacotar material  cirúrgico; preparar material para aulas prática, exames, tratamento e cirurgias; informar ao  superior imediato as condições do material utilizado nos exames e cirurgias; executar o pré e  o pós-operatório;  auxiliar  na  coleta  de material  para  exames;  participar  de vacinações e  trabalho de inseminação artificial. Organizar o local de trabalho, manter a limpeza do local de  trabalho;  preencher  ficha  do  animal  (cadastro);  conferir  dados  do  animal  (ficha  ou  identificação); organizar o atendimento (horário de tosa e banho); controlar estoques; repor  material e medicamentos; controlar óbitos; embalar e encaminhar cadáver para necropsia;  enviar  material  coletado  para  exames  clínicos;  lubrificar,  limpar,  resfriar  e  desinfetar  equipamentos. Trabalhar em conformidade a normas e procedimentos de segurança, higiene  e saúde. Auxiliar nas atividades de ensino, pesquisa e extensão. Executar outras tarefas de  mesma natureza ou nível de complexidade associado à sua especialidade ou ambiente.  15    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AUXILIAR EM ADMINISTRAÇÃO (proposta: aglutinar com Assistente em Administração)  ||CÓDIGO CBO: 4110-05  ||DESCRICAO : Assistir  à  Direção do órgão no levantamento  e  distribuição dos serviços  administrativos,  auxiliando na elaboração da política de sua área de atuação e  participando da elaboração  de projetos, estudos e análise para melhoria dos serviços; Organizar e executar atividades  administrativas  nas  áreas  de  gestão  de  pessoas,  administração,  acadêmica,  orçamento,  finanças e patrimônio, logística e de secretaria; atender usuários, fornecendo e recebendo  informações; tratar de documentos e atos administrativos, cumprindo todo o procedimento  necessário  referente  aos  mesmos;  preparar  relatórios  e  planilhas,  .  Assessorar  nas  atividades de ensino, pesquisa e extensão.  Executar  serviços  de  apoio  nas  áreas  de  recursos  humanos,  administração,  finanças  e  logística, bem como, tratar documentos variados, preparar relatórios e planilhas, cumprindo  todo o procedimento necessário referente aos mesmos. Auxiliar nas atividades de ensino, pesquisa e extensão.Utilizar recursos de informática. Executar  outras  tarefas  de  mesma  natureza  e  nível  de  complexidade  associadas  ao  ambiente organizacional  16    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: AUXILIAR EM ASSUNTOS EDUCACIONAIS  (ASSISTENTE  EM  ASSUNTOS  EDUCACIONAIS  –  aglutinar  auxiliar em assuntos educacionais e assistente de alunos)   ||CÓDIGO CBO  ||DESCRICAO : Execução,  sob  supervisão  e  orientação,  trabalhos  relacionados  com  assistência  e  orientação educacional, aplicação de recursos audiovisuais na educação e supervisão,  administração e inspeção do ensino. Organizar, coletar dados e colaborar na aplicação de  testes  psicológicos  e  vocacionais.  Assistir  aos  alunos  nas  atividades  escolares,  profissionais e de lazer. Classificar e catalogar recursos audiovisuais. Dar assistência na preparação de aulas práticas. Assistir os professores no manuseio dos  recursos audiovisuais. Pesquisar fontes de informação e materiais didáticos. Acompanhar  discentes  em estágios.  Assistir  nas  pesquisas  destinadas  a  fornecer  elementos  para  elaboração de programas de ensino. Colaborar no planejamento, controle e avaliação das  atividades de ensino. Colaborar no estabelecimento de normas para avaliação do material  didático. Utilizar recursos de informática. Executar outras tarefas de mesma natureza e  nível de complexidade associadas ao ambiente organizacional.  17    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: BRIGADISTA DE INCÊNDIO  ||CÓDIGO CBO: 5171-10  ||DESCRICAO : Prevenir  situações de risco e executar  salvamentos terrestres,  aquáticos e em altura,  protegendo pessoas e patrimônios de incêndios, explosões, vazamentos, afogamentos ou  qualquer outra situação de emergência, com o objetivo de salvar e resgatar vidas; prestar  primeiros  socorros,  verificando  o  estado  da  vítima  para  realizar  o  procedimento  adequado;  realizar  cursos  e  campanhas  educativas,  formando  e  treinando  equipes,  brigadas  e  corpo  voluntário  de  emergência.  Realizar  operações  preventivas  contra  acidentes. Instalar e vistoriar equipamentos de prevenção e combate a incêndio. Executar  outras  tarefas  de  mesma natureza e  nível  de  complexidade  associadas  ao  ambiente  organizacional.  Auxiliar nas atividades de ensino, pesquisa e extensão.  OBS: proposta: colocar em extinção.   18    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: CAMAREIRO DE ESPETÁCULO  ||CÓDIGO CBO: 5133-05  ||DESCRICAO : Manter  em ordem, conservar,  classificar  e  organizar  os figurinos e vestuários de atores,  identificando e controlando as saídas, devoluções e substituições das roupas e acessórios. Auxiliar nas atividades de ensino, pesquisa e extensão. Executar outras tarefas de mesma  natureza e nível de complexidade associadas ao ambiente organizacional.  19    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: CENOTÉCNICO  ||CÓDIGO CBO: 3742-05  ||DESCRICAO : Construir cenários, adereços e mobiliários, a partir de análise de projeto cenográfico e  pesquisa de objetos e materiais executando técnicas afins, como trabalho de carpintaria,  serralheria, costura, pintura, modelagem e escultura; montar e adaptar peças de cenários  e efeitos especiais. Auxiliar nas atividades de ensino, pesquisa e extensão.  Executar  outras tarefas de mesma natureza e nível  de complexidade associadas ao  ambiente organizacional.   20    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: CONDUTOR / MOTORISTA FLUVIAL  ||CÓDIGO CBO: 3413-05  ||DESCRICAO : Conduzir motores de embarcações; operar equipamentos da seção de máquinas; realizar  manutenção  em equipamentos;  carregar  e  descarregar  embarcações.  Registrar  dados  e  coordenar serviços da seção de máquinas; controlar materiais de consumo e sobressalentes  e executar serviços de conservação da seção de máquinas. Auxiliar nas atividades de ensino, pesquisa e extensão.  "
 C  ;  CONTÍNUO  (AUXILIAR  DE  SERVIÇOS  ADMINISTRATIVOS  :  aglutinação  de  contínuo,  operador  de  máquina copiadora, apontador e recepcionista)  ;:  ;"  Auxiliar  em  tarefas  simples  relativas  às  atividades  de  administração,  para  atender  solicitações e necessidades da unidade.  Conferir  as  quantidades  e  especificações  dos  materiais  solicitados  e  distribuí-los  nas  unidades;  Controlar  freqüência,  registrar  as  horas  trabalhadas  e  as  ocorrências  diárias;  encaminhar ao setor competente os documentos pessoais dos funcionários,  auxiliar   nas  solicitações de materiais e  relatórios de bens móveis; fazer o controle patrimonial de bens;  executar pedidos de compras de material  de consumo e permanente para execução das  atividades do setor; Receber, orientar e encaminhar o público; controlar a entrada e saída de  pessoas nos locais de trabalho, receber e transmitir mensagens telefônicas e fax; receber,  coletar  e  distribuir  correspondência,  documentos,  mensagens,  encomendas,  volumes  e  outros, interna e externamente; coletar assinaturas de documentos diversos de acordo com  as  necessidades  da  unidade;  operar,  abastecer,  regular,  efetuar  limpeza  periódica  de  máquina copiadora, controlar requisições de máquina copiadora, receber e assinar recibo de  material  de consumo, correios, reprografia e outros. Utilizar recursos de informática. Auxiliar  nas atividades de ensino, pesquisa e extensão. Executar outras tarefas de mesma natureza  e nível de complexidade associadas ao ambiente organizacional.   Executar trabalhos de coleta e de entrega de documentos e outros, para atender solicitações  e necessidades administrativas da unidade.  "
 C  ; CONTRA-MESTRE/OFÍCIO  ;:  ;" Acompanhar e executar os trabalhos de sua especialidade, orientado o correto desempenho  das tarefas, bem como, o emprego adequado dos materiais. Manter contato com o Mestre,  analisando e discutindo o trabalho a ser executado, estabelecendo o roteiro e o desempenho  correto das tarefas. Fazer junto com o técnico da área o levantamento do material  a ser  utilizado para providenciar a requisição junto ao almoxarifado. Orientar os funcionários do  setor sobre o correto desempenho das tarefas, acompanhando a sua execução. Auxiliar nas  atividades de ensino, pesquisa e extensão. Executar outras tarefas de mesma natureza e  nível de complexidade associadas ao ambiente organizacional.  OBS: Proposta: colocar em extinção.   24    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: CONTRA-REGRA  ||CÓDIGO CBO:   ||DESCRICAO : Tratar da colocação dos objetos de cena e decoração do cenário. Guardar os objetos de  cena  em  local  próprio.  Cuidar  da  manutenção  solicitando  aos  técnicos  os  reparos  necessários.  Dar  sinais  aos  atores  e  ao  público,  para  início  e  intervalos  do  espetáculo.  Executar limpeza do palco. Encarregar-se dos efeitos e ruídos na caixa do teatro, segundo  as  exigências  do  espetáculo.  Auxiliar  nas  atividades  de  ensino,  pesquisa  e  extensão.  Executar  outras  tarefas  de  mesma  natureza  e  nível  de  complexidade  associadas  ao  ambiente organizacional.   25    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: COSTUREIRO DE ESPETÁCULO/CENÁRIO  ||CÓDIGO CBO:  ||DESCRICAO : Confeccionar  trajes  específicos  para  espetáculos  a  partir  de  idéias  concebidas  do  figurinista e cenógrafo. Fazer levantamentos de materiais necessários as suas atividades.  Auxiliar  nas  atividades  de  ensino,  pesquisa  e  extensão.  Executar  outras  tarefas  de  mesma natureza e nível de complexidade associadas ao ambiente organizacional.  26    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: COZINHEIRO  ||CÓDIGO CBO: 5132-05  ||DESCRICAO : Preparar  alimentos  sob supervisão de nutricionista,  de  modo que assegure  a qualidade,  higiene, sabor, aroma e apresentação da refeição a ser servida. Inspecionar a higienização  de  equipamentos  e  utensílios.  Auxiliar  na  requisição  do  material  necessário  para  a  preparação dos alimentos. Coordenar atividades da cozinha. Pode participar da execução da  faxina da área interna da cozinha, limpeza de máquinas, utensílios e outros equipamentos,  utilizando-se  de  materiais  adequados,  para  assegurar  sua  utilização  no  preparo  dos  alimentos. Executar outras tarefas de mesma natureza e nível de complexidade associadas  ao ambiente organizacional.  Observação: Cargo em extinção. Proposta: retornar o cargo.   27    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO: COZINHEIRO DE EMBARCAÇÕES  ||CÓDIGO CBO: 5132-25  ||DESCRICAO : Organizar  e  supervisionar  serviços de cozinha em embarcações,  planejando cardápios e  elaborando  a  estocagem  e  conservação,  o  pré-preparo,  o  preparo  e  a  finalização  de  alimentos, observando métodos de cocção e padrões de qualidade dos alimentos. Cuidar da  organização, higiene e funcionamento dos equipamentos e utensílios.  Auxiliar nas atividades de ensino, pesquisa e extensão. Executar outras tarefas de mesma  natureza e nível de complexidade associadas ao ambiente organizacional.  OBS: Verificar se pode ser aglutinado com o cargo de cozinheiro.   28    PLANO DE CARREIRA DOS CARGOS TÉCNICO-ADMINISTRATIVOS EM EDUCAÇÃO  DESCRIÇÃO DE CARGOS  NÍVEL DE CLASSIFICAÇÃO: C  ||DENOMINAÇÃO DO CARGO:  DATILÓGRAFO  DE  TEXTOS  GRÁFICOS  (Aglutinar com compositor gráfico)   ||CÓDIGO CBO  ||DESCRICAO : Datilografar textos, apostilas e livros para impressão em off-set, bem como outros trabalhos,  documentos e formulários específicos ou especializados para impressão em geral. Auxiliar nas atividades de ensino, pesquisa e extensão.  Planejam serviços de pré-impressão gráfica. Realizam programação visual gráfica e editoram  textos  e  imagens.  Operam  processos  de  tratamento  de  imagem,  montam  fotolitos  e  imposição  eletrônica.  Operam  equipamentos  de  informática  manuseando  o  teclado  e  visualizando o texto ou imagem em um monitor; operam equipamentos de informática com  programas voltados para editoração de textos e imagens; trabalham seguindo normas de  segurança, higiene e qualidade; executar outras tarefas de mesma natureza e mesmo nível  de dificuldade.  "
