nivel;cargo;cbo;descricao
 A  ; AUXILIAR RURAL ;  ; Executar serviços de natureza repetitiva, envolvendo atividades braçais, simples e  de apoio. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 A  ; CARVOEJADOR  ; – 6326  ; Preparar os fornos para a carbonização, verificando o abastecimento da lenha e  as  condições  de  funcionamento  dos  mesmos.  Controlar  a  carbonização,  conferindo os pegadores dos fornos, das filinhas e outros, separando lenhas não  carbonizadas do carvão. Construir fornos. Instruir trabalhadores sobre segurança  no trabalho. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 A  ; CHAVEIRO  ;  ; Montar  e  reparar  fechaduras,  ajustando e  regulando partes  e  o  conjunto  para  possibilitar  sua  instalação  e  utilização  em esquadrias,  portas,  grades,  móveis,  aparelhos e outros equipamentos.  Auxiliar nas atividades de ensino, pesquisa e  extensão.  
 A  ; LAVADEIRO  ;  ; Lavar,  secar  peças  de  usuário,  roupas  de  cama  e  mesa  e  outras  similares,  utilizando processos manuais e/ou mecânicos para eliminar sujeiras.  Auxiliar nas  atividades de ensino, pesquisa e extensão.  
 A  ; OLEIRO  ; – 8281-05. 8281-10  ; Fabricar  tijolos  e  telhas,  empregando  esforço  manual  e  utilizando  moldes,  ferramentas e utensílios diversos, para possibilitar a aplicação desses produtos  em edificações ou outras construções. Auxiliar nas atividades de ensino, pesquisa  e extensão.  
 A  ;  OPERADOR  DE  MÁQUINA  DE  LAVANDERIA  ;  ; Lavar,  secar  peças  de  usuário,  roupas  de  cama  e  mesa  e  outras  similares,  utilizando processos manuais e/ou mecânicos para eliminar sujeiras.  Auxiliar nas  atividades de ensino, pesquisa e extensão.  
 A  ; PESCADOR PROFISSIONAL  ;  ; Auxiliar nas atividades de ensino, pesquisa e extensão.  
 A  ; REDEIRO  ;:   ; Auxiliar nas atividades de ensino, pesquisa e extensão.  
 A  ; SERVENTE DE LIMPEZA  ;  ; Executar  trabalhos  de  limpeza  em  geral  em  edifícios  e  outros  locais,  para  manutenção das condições de higiene e conservação do ambiente, coletando o  lixo. Auxiliar nas atividades de ensino, pesquisa e extensão.  
 A  ; SERVENTE DE OBRAS  ;  ; Executar tarefas manuais simples na construção civil para auxiliar na edificação e  reforma  de  construção  civil.  Auxiliar  nas  atividades  de  ensino,  pesquisa  e  extensão.  
 A  ; TAIFEIRO FLUVIAL  ;  ;  
 A  ; TAIFEIRO MARÍTIMO  ;  ;  
 A  ; VESTIARISTA ;  ; Executar  tarefas  de  controle  de  roupas  e  objetos  de  uso  diário.  Auxiliar  nas  atividades de ensino, pesquisa e extensão.  
 B  ; AÇOUGUEIRO  ; – 8485-10  ; Realizar  atividades  relacionadas  ao  recebimento  de  animais  abatidos,  sua  desossa,  preparação e conservação para a utilização.   
